Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 931 | Keywords: 070201 2272 ???????. ??????? ???????? ?? ?????????????? ?? ???????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ??? (16.03.16) ?411 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 274 | Keywords: 070201 2271 ???????. ??????? ???????? ?? ???????? ?? ???????? 2016 ???. (01.09.10) ?12/02-3585-??, ???.??. (18.01.16) ?5, ??? (16.03.16) ?410 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 501131 | Keywords: 070201 2271 ???????. ??????? ???????? ?? ???????? ?? ???????? 2016 ???. (01.09.10) ?12/02-3585-??, ???.??. (18.01.16) ?5, ??? (16.03.16) ?410 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 44064 | Keywords: 070201 2271 ???????. ??????? ???????? ?? ???????? ?? ???????? 2016 ???. (22.12.11) ?12/02-4721-??, ???.??. (18.01.16) ?8, ??? (16.03.16) ?414 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 170 | Keywords: 2501200  2730  ????.???????  ????????? ???????? ?????.?????? ?? ???? ?? 02.2016?.   ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 00019413 | Price: 8268 | Keywords: 2201080  2730  ?????? ??? ?? ?i???? - 4 ???.,  ???. - ?????.- 1 ???., ?????  ???. ?22 ?i? 25.12.2015 ?. , ????????? ??? ?i? 27.08.08 ?757
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 00220026 | Price: 1025 | Keywords: 2201150  2282  ??? ?? ????? 2016?  ????.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 34984472 | Price: 759034 | Keywords: #??? ???? ???? ??? ??? 28.03.16 ?? ???  ?/? 904/xxxx/14 ??? 23.06.14  ?????????????? ???? ????????? ?????  ?  ???????? ?.?.#
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 34984472 | Price: 445219 | Keywords: #??? ???? ???? ??? ??? 30.03.16 ?? ???  ?/? 2/xxxx/xxxx/xxxx ??? 24.04.12  ?????????????? ???? ????????? ?????  ?  ???????? ?.?.#
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 34984523 | Price: 605115 | Keywords: xxxx c??????? ? ???i????? ?.?. ?? ??????? ????"???i???????? ?i?????? ??i???????? , ?/? ?904/xxxx/14 ?i? 01.08.14?. ?10-/15 , ??? ???
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 34984472 | Price: 759034 | Keywords: #??? ???? ???? ??? ??? 30.03.16 ?? ???  ?/? 904/xxxx/14 ??? 23.06.14  ?????????????? ???? ????????? ?????  ?  ???????? ?.?.#
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 37936856 | Price: 670 | Keywords: 3504010 2111 ?? ???????? i? ???????? ?? ????????2016?. ?? ??????? ?.?.,i?? 3521802067 ??.???????? 1434/ I??-14 ?i? 05.08.2014?
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 00220026 | Price: 2498 | Keywords: 2201150  2282  ??? ?? ???????? 2016 ?  ????.
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 34984472 | Price: 346436 | Keywords: #??? ???? ???? ??? ??? 31.03.16 ?? ???  ?/? 904/xxxx ??? 13.06.14  ?????????????? ???? ????????? ?????  ?  ???????? ?.?.#
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 170 | Keywords: 2501200  2730  ????.???????  ????????? ???????? ?????.?????? ?? ???? ?? 03.2016?.   ??? ???. 2501200151_04831603300319245411 (011)
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 634694 | Keywords: 090405 2730 ? ?? ??? ?? 01.16?.  ??.??.?1 ??? 01.01.16  ?? ????.????? ?20 ???11.01.05.(?? ???????) ???- .1057,82 547,01 1513242151_04831603290319245414 (014)
Date: 2017/04/13 14:16:50.404 | Message: [02070743] | PayerId: 03192454 | Price: 285916 | Keywords: 090405 2730 ? ?? ??? ?? 02.16?.  ??.??.?1 ??? 01.01.16  ?? ????.????? ?20 ???11.01.05.(?? ???????) ???- 476,53  1513242151_04831603310319245428 (028)
