Date: 2017/04/13 13:22:19.152 | Message: 300 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:30.628 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:33.103 | Message: 290 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:34.748 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:36.990 | Message: 296 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:38.769 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:41.735 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:46.988 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:50.386 | Message: 299 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:54.594 | Message: 288 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:58.576 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ????? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33441250 | Price: 393631 | Keywords: 2201160 2282 ??? ???????? ?? ?i???? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ????? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 39328280 | Price: 100 | Keywords: #751010#,#2610#,#?? ??????? ? ??????????? ??#,#??? ?126 ??? 26,02,2016 ??? ?1/02 ??? 26/02/2016#,#? ?.?.???-16,67# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 36285763 | Price: 3250 | Keywords: 2201040 2281 ?i??????????? ??? ?? 01.2016?. ??i??? ???  ?i? 02.12.2010?.? 2755-VI ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 39214962 | Price: 313 | Keywords: 2201150  2282  ?i?????. ???, ?????.??i??????????  ??i??? ??????.??????.? ??????? ?? ?????? ????i??? ?? ????? ?i???? 2016 ????  ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33935089 | Price: 6665 | Keywords: 2201150 2282  ?i??????????? ??? ??i??? ?????????i ????????ii ? ??????? ?? ?????? ????i??? ?? ????? 2016 ?.  . <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295386 | Price: 1817 | Keywords: 2201150  2282  ????????????? ???   ?? 02.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295449 | Price: 4295 | Keywords: 33295449 2201150 2282 ??? ?????i?  25010200 ?i??????????? ??? ?? ?i????2016?# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 850 | Keywords: 2501200 2730 ???????.???? ??????? ???????i? ?????? ??  26.02.16 ??? ???,???.110. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 34492238 | Price: 24690 | Keywords: 2201160  2282 ?i??????????? ??? ?????????? ??i?????????? ??.?????????? ????????i? ? ??????? ?? ?????? ????i??? ?? ????? 2016?. ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 34492201 | Price: 235146 | Keywords: * 101 34492201  2201160  2282 ?i??????????? ??? ?? 2 ?-?? 2016?. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295412 | Price: 25000 | Keywords: 2201150 2282  ?i??????????? ??? ??i??? ?????????? ????????i?  ??????. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 34492264 | Price: 28000 | Keywords: #2201150#,#???? 2282 - 28000,00#,#?i??????????? ???, ??i??? ??????? ????????i?.# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 35077585 | Price: 138 | Keywords: * 110 35077585   ?i??????????? ??? ?????????? ??i?????????? ?? ?i???? 2016 ????    2201150 2282 <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 35077585 | Price: 1599 | Keywords: * 110 35077585   ?i??????????? ??? ?????????? ??i?????????? ?? ????? 2016 ??. ?????. ????????i? ??? ???   2201150 2282 <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295449 | Price: 5553 | Keywords: 33295449 2201150 2282 ?i??????????? ??? ?? ????? 2016? ??????. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 36285763 | Price: 5237 | Keywords: 2201040 2281 ?i??????????? ??? ?? 02.2016?. ??i??? ???  ?i? 02.12.2010?.? 2755-VI ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 680 | Keywords: 2501200 2730 ???????.???? ??????? ???????i? ?????? ??  24.03.16 ??? ???,???.110. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295386 | Price: 2000 | Keywords: 2201150  2282  ????????????? ???  ???????? ?? 03.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ???????? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 26252928 | Price: 105000 | Keywords: 2201040 2281 ????????? ?????? I-????? ??? ??.???.??64/11-2016 ?i? 28.03.16?.???.?4 ?i? 28.03.16?.???? 25010100 ??? ??? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295386 | Price: 1869 | Keywords: 2201150  2282  ????????????? ???   ?? 03.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 05536797 | Price: 160 | Keywords: 070501 2240 ?? ?i????????? ??????. ?????? ??. ???. 130 ?i? 07.04.2016 ?? ???. 1 ?i? 07.04.2016 ? ? ? ??? - 26,67. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 34492264 | Price: 10000 | Keywords: #2201150#,#???? 2282 - 10000,00#,#?i??????????? ???, ??i??? ??????? ????????i?.# <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 39420875 | Price: 147246 | Keywords: 3507010 2240 ???. ????. ???????????, ????. ????????, ?.? 329-? ??? 12.04.16?., ??? ? 329-? ??? 12.04.16?., ???.? 94/2016-124-191 ??? 11.04.16?., ? ?.?. ???-245, <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 39214962 | Price: 1305 | Keywords: 2201150  2282  ?i?????. ???, ?????.??i??????????  ??i??? ??????.??????.? ??????? ?? ?????? ????i??? ?? ???????? ?i???? 2016 ????  ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 36285763 | Price: 4800 | Keywords: 2201040 2281 ?i??????????? ??? ?? 03.2016?. ??i??? ???  ?i? 02.12.2010?.? 2755-VI ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 34492201 | Price: 6451 | Keywords: * 101 34492201  2201160  2282 ?i??????????? ??? ?? 3 ?-?? 2016?. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33935089 | Price: 7626 | Keywords: 2201150 2282  ?i??????????? ??? ??i??? ?????????i ????????ii ? ??????? ?? ?????? ????i??? ?? ???????? 2016 ?.  . <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 36038290 | Price: 270 | Keywords: 6641010  2240  ???.????.? ??????????? ???????????? ???????  ???. ? 147/131 ??? 15.04.16. ?? ???? ? 1  ??? 15.04.16  ??? -45,00 ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33441250 | Price: 317000 | Keywords: 2201160 2282 ??? ???????? ?? ???????? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 34492238 | Price: 21849 | Keywords: 2201160  2282 ?i??????????? ??? ?????????? ??i?????????? ??.?????????? ????????i? ? ??????? ?? ?????? ????i??? ?? ???????? 2016?. ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ??i???? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 35077585 | Price: 7 | Keywords: * 110 35077585   ?i??????????? ??? ?????????? ??i?????????? ?? ????????2016 ??. ?????. ????????i? ??? ???   2201150 2282 <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 00496834 | Price: 184358 | Keywords: 6591060 2281 ?????????? ??? ??i???? ????i? ??? ???.149/2016 ?i? 27.04.16 ??? ? 405-? ?i? 27.04.16 ? ?.?.??? 307,26 <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295449 | Price: 1962 | Keywords: 33295449 2201150 2282 ?i??????????? ??? ?? ???????? 2016? ??????. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 25959117 | Price: 6000 | Keywords: xxxx.6  ?????? ?? ??????? ? ?????????? ???????-??????????? ???i???? ??i??? ???????? ?172/160 ?i? 27.04.xxxx? ? ?.?. ??? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 02572508 | Price: 18970 | Keywords: 1006070 2281 ?i???????? ???i????i? ?? ????????? ?? ?????? ?????????????? i????? ? ?i?????i? ??.??126/110 ?i? 01.04.16?,????1 ?i? 10.05.16? ??? ???. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ??i???? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 33295386 | Price: 2000 | Keywords: 2201150  2282  ????????????? ???  ???????? ?? ??????? 2016?. <br/>
Date: 2017/04/13 13:48:26.972 | Message: [00493706] | PayerId: 37414016 | Price: 360181 | Keywords: 2501200 2730 ???????.???? ????????i ?i??????? ?????? ?? 13.05.16 ??? ??? ???.110. <br/>
